path,name_matches,content_matches,mismatch,sha256
Ponyo_&_The-Little-Mermaid_Comparative-Reflection-Worksheet.md,,sop,sop,2f51e47d20388295313324462bdaa5bec548757b31b83d2c06ea456905624a84
Untitled.md,,,,1690f3e8dce6e62d1e1358fef6955c6c12cedeaa9efbea80a9ce796594220632
CHANGELOG.md,,protocol;sop;naming;process,naming;process;protocol;sop,1ffd02da51d72bf981472d446f847f9e5dd6ae423517eab6ed132cee21c88973
README_NOTES.zip!rege_os.md,,protocol;naming,naming;protocol,1f1a4f73ba3d0042a69dcc5e65244b35fa04c4614c17285f01f13526a984ebc7
README_NOTES.zip!abloom.md,,sop;naming,naming;sop,a979191cf1d010dbce401d3d29caf6adb87308b1fa47f7dc1bd73ac15f77a1ae
README_NOTES.zip!met4morf_os.md,,naming,naming,47cc246faed451dfa7119fdbeaf925e4e00f1513fc5928351319da9f6acd39a2
README_NOTES.zip!etceter4.md,,naming,naming,c6c3ecbb829bed33d9380eff5f0cdef28b0b9a4a9ce6098a23fd4ed313fe4425
README_NOTES.zip!qvv33r.md,,naming,naming,02eadeba0080fc540148449c1da4a94278badfa1f460e3ac577ef4a45a957e77
README_NOTES.zip!gr1nd3r.md,,naming,naming,4b9352c27451391a20071606ff7a9323b78fea7dc6398e789aacdabb7c46a600
README_NOTES.zip!canon_timeline.md,,naming,naming,97c0f6eea4c913957fba59616ffc12ce7b3631bc7794b7eb34e0f2dce2b3cca6
README_NOTES.zip!char_engine.md,,naming,naming,48441ca64677e1301c0697ff091293f2a55178632ae157683041dbb8576d8982
README_NOTES.zip!theory_crit.md,,naming,naming,ad3c932149f8f67f335a8704b66d6849c01c902bad9b42a07081852b9acd8275
README_NOTES.zip!naming_spells.md,naming,naming,,6acdc9a4716f05f67864ac022bb7daa7b53d3f2cf16243d52552d65ed63e80b1
README_NOTES.zip!intr4_z0ne.md,,naming,naming,2bf4bc48509ab80229aea7c88eee5540e5e373e95fbc724a858f57fe88ee25a6
README_NOTES.zip!pr0j_br4nds.md,,naming,naming,5f70ae6e17c967e19bd358e3df741c33295b0e4106e82b15a3865dc5c78ce628
README_NOTES.zip!mirror.md,,naming,naming,6f53c7aa665ab4da8d845777a86f84a175e2c03fccbb882105edb0b7b34e43b7
README_NOTES.zip!4rkl1v.md,,naming,naming,2ef5d1c678fa1a52f2c9ffebe1513edf00f37b5e367c6597ec258249f9e5db2f
README_NOTES.zip!tr4nsmvt3.md,,naming,naming,f026529ab8b12944e08d9ad64313f11709861aaede244ac10c1fa3eae33108d0
README_NOTES.zip!hydr4.md,,naming,naming,36eb665932fb21082b41c7750570ddebe5507748556274b81144419d68601059
ChatGPT-Merge Project Folders.md,,protocol;sop;naming;process,naming;process;protocol;sop,6eeb5daff277784be6c0e17a5472fa9f4b932c7ba5afeec02c71adaec7f73f86
NAME_STRUCTURE_OVERVIEW.md,,protocol;sop;naming,naming;protocol;sop,ff91865148ea758de7b6c2969f9afc9fac45a9ce0dbc2a2b1d52a1d6c1b455ac
THREAD_PROJECT_CROSSWALK_TAGGED.md,,protocol;sop;naming;process,naming;process;protocol;sop,7e30cb51f33916ace8f158e9e473e8ed897beb816189945ec64872c2337a4013
Untitled 1.canvas,,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
FOLDER_CATALOG_FINAL.md,,protocol;sop;naming,naming;protocol;sop,8b488ca3dca85cfe9e10c824fb33693748ab6ae60adb2a387e6f546938c49f2c
CHR0N0S_manifest.md,,,,0f244f6e0fb1920c12f098232ea1782a6af0b99fb7ea8f63b0afbc4415cd8e51
walk_compare.py,,protocol;sop;naming;process,naming;process;protocol;sop,c0ec99aeb764f39c81468efd047d6c2de2b1b0d181293967a50c14b58e814be8
Vault.md,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
GPT_PROJECTS_ARCHIVE.md,,sop,sop,473768fc4b21bb5e049dec1bf9e16306358d68f91261e6aebc04d9b39b30de48
ChatGPT-Disable Canvas Tool.md,,protocol;sop;naming;process,naming;process;protocol;sop,5b8996935ebb9c1f42ff7e8b454fb4d25ea699db52d20279acbc0a563e4a698d
.gitattributes,,,,1a1dbe176bc233b499d35a57db7513f2941c99ab9759f177830c9149be99005b
SYSTEM_ROOT_README.md,,,,d77750b94c93c9552a9f109a309633c46c379a6f6fb6d69c50befdde78533cf1
; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_13_BLOCKCHAIN_ECONOMY.md,,,,dd17d41f5fff85ade86583662db3003d8a5607bd4219eb3fe55d2aef0d55ab6a
; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/AAW_CORE_10 ΓÇö GENEALOGY ENGINE.md,,protocol,protocol,9d790337408b2ec216a17b8cd64b22feb583e109202443fd02e6c6acb06adced
; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_11_MASK_ENGINE.md,,,,2eebdf493e95f58cf3d0b8ae2a150ce8a7fa8e2c289f7d316fe26fe005cde6e1
; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_04_ARCHIVE_ORDER.md,,,,83c44928b5b3d3a47b4e4904ea2442743931b660777b6a7f52912325f12ed0d3
; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/AAW_CORE_11 ΓÇö FAILURE STUDY CHAMBER.md,,protocol;naming,naming;protocol,71c2e08c396580926d7032a683ab8739303fd4447ca11e6c931afe4ad8cae47d
; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_09_ECHO_SHELL.md,,process,process,f0d526fa50d6e1440a4fb1d088b5657675b65c6f7d9accf4bda5560f4854f71e
; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_05_RITUAL_COURT.md,,sop;process,process;sop,0fc2ab31038afc20d01726b1584ce13eed097c59f9dd3df40e3c2b79953cf698
; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_21_STAGECRAFT_MODULE.md,,,,4ca3d88fcc384dcd7e11367bf81d83f80a59929e855983ca63e966953834382a
; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_06_CODE_FORGE.md,,process,process,027bcd58a00207345bd78f901edf981e27802a63394724596e3fbb6f2b631960
; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_17_TIME_RULES_ENGINE.md,,,,eea6d627e60ae778ab4c77c61b30a284587af6413bff560312e65def75eb0c79
; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/R3..G3..[  0__S  ].md,,,,61a1f62eaf788da6340ffc1e695eabe87ecbd6927c0cede9c72b942c2bb767a0
